Date Purchased,Quantity,Player,Year,Set,Variation,Number,Category,Condition,Investment,Estimated Value,Ladder ID,Notes,Date Sold,Sold Price,Image
08/23/2026,1,Player 501,2021,Topps Chrome,,501,Baseball,Raw,5.0,15.0,,8492-501,,,
08/23/2026,1,Player 502,2021,Topps Chrome,,502,Baseball,Raw,5.0,15.0,,8492-502,,,
08/23/2026,1,Player 503,2021,Topps Chrome,,503,Baseball,Raw,5.0,15.0,,8492-503,,,
08/23/2026,1,Player 504,2021,Topps Chrome,,504,Baseball,Raw,5.0,15.0,,8492-504,,,
08/23/2026,1,Player 505,2021,Topps Chrome,,505,Baseball,Raw,5.0,15.0,,8492-505,,,
08/23/2026,1,Player 506,2021,Topps Chrome,,506,Baseball,Raw,5.0,15.0,,8492-506,,,
08/23/2026,1,Player 507,2021,Topps Chrome,,507,Baseball,Raw,5.0,15.0,,8492-507,,,
08/23/2026,1,Player 508,2021,Topps Chrome,,508,Baseball,Raw,5.0,15.0,,8492-508,,,
08/23/2026,1,Player 509,2021,Topps Chrome,,509,Baseball,Raw,5.0,15.0,,8492-509,,,
08/23/2026,1,Player 510,2021,Topps Chrome,,510,Baseball,Raw,5.0,15.0,,8492-510,,,
08/23/2026,1,Player 511,2021,Topps Chrome,,511,Baseball,Raw,5.0,15.0,,8492-511,,,
08/23/2026,1,Player 512,2021,Topps Chrome,,512,Baseball,Raw,5.0,15.0,,8492-512,,,
08/23/2026,1,Player 513,2021,Topps Chrome,,513,Baseball,Raw,5.0,15.0,,8492-513,,,
08/23/2026,1,Player 514,2021,Topps Chrome,,514,Baseball,Raw,5.0,15.0,,8492-514,,,
08/23/2026,1,Player 515,2021,Topps Chrome,,515,Baseball,Raw,5.0,15.0,,8492-515,,,
08/23/2026,1,Player 516,2021,Topps Chrome,,516,Baseball,Raw,5.0,15.0,,8492-516,,,
08/23/2026,1,Player 517,2021,Topps Chrome,,517,Baseball,Raw,5.0,15.0,,8492-517,,,
08/23/2026,1,Player 518,2021,Topps Chrome,,518,Baseball,Raw,5.0,15.0,,8492-518,,,
08/23/2026,1,Player 519,2021,Topps Chrome,,519,Baseball,Raw,5.0,15.0,,8492-519,,,
08/23/2026,1,Player 520,2021,Topps Chrome,,520,Baseball,Raw,5.0,15.0,,8492-520,,,
08/23/2026,1,Player 521,2021,Topps Chrome,,521,Baseball,Raw,5.0,15.0,,8492-521,,,
08/23/2026,1,Player 522,2021,Topps Chrome,,522,Baseball,Raw,5.0,15.0,,8492-522,,,
08/23/2026,1,Player 523,2021,Topps Chrome,,523,Baseball,Raw,5.0,15.0,,8492-523,,,
08/23/2026,1,Player 524,2021,Topps Chrome,,524,Baseball,Raw,5.0,15.0,,8492-524,,,
08/23/2026,1,Player 525,2021,Topps Chrome,,525,Baseball,Raw,5.0,15.0,,8492-525,,,
08/23/2026,1,Player 526,2021,Topps Chrome,,526,Baseball,Raw,5.0,15.0,,8492-526,,,
08/23/2026,1,Player 527,2021,Topps Chrome,,527,Baseball,Raw,5.0,15.0,,8492-527,,,
08/23/2026,1,Player 528,2021,Topps Chrome,,528,Baseball,Raw,5.0,15.0,,8492-528,,,
08/23/2026,1,Player 529,2021,Topps Chrome,,529,Baseball,Raw,5.0,15.0,,8492-529,,,
08/23/2026,1,Player 530,2021,Topps Chrome,,530,Baseball,Raw,5.0,15.0,,8492-530,,,
08/23/2026,1,Player 531,2021,Topps Chrome,,531,Baseball,Raw,5.0,15.0,,8492-531,,,
08/23/2026,1,Player 532,2021,Topps Chrome,,532,Baseball,Raw,5.0,15.0,,8492-532,,,
08/23/2026,1,Player 533,2021,Topps Chrome,,533,Baseball,Raw,5.0,15.0,,8492-533,,,
08/23/2026,1,Player 534,2021,Topps Chrome,,534,Baseball,Raw,5.0,15.0,,8492-534,,,
08/23/2026,1,Player 535,2021,Topps Chrome,,535,Baseball,Raw,5.0,15.0,,8492-535,,,
08/23/2026,1,Player 536,2021,Topps Chrome,,536,Baseball,Raw,5.0,15.0,,8492-536,,,
08/23/2026,1,Player 537,2021,Topps Chrome,,537,Baseball,Raw,5.0,15.0,,8492-537,,,
08/23/2026,1,Player 538,2021,Topps Chrome,,538,Baseball,Raw,5.0,15.0,,8492-538,,,
08/23/2026,1,Player 539,2021,Topps Chrome,,539,Baseball,Raw,5.0,15.0,,8492-539,,,
08/23/2026,1,Player 540,2021,Topps Chrome,,540,Baseball,Raw,5.0,15.0,,8492-540,,,
08/23/2026,1,Player 541,2021,Topps Chrome,,541,Baseball,Raw,5.0,15.0,,8492-541,,,
08/23/2026,1,Player 542,2021,Topps Chrome,,542,Baseball,Raw,5.0,15.0,,8492-542,,,
08/23/2026,1,Player 543,2021,Topps Chrome,,543,Baseball,Raw,5.0,15.0,,8492-543,,,
08/23/2026,1,Player 544,2021,Topps Chrome,,544,Baseball,Raw,5.0,15.0,,8492-544,,,
08/23/2026,1,Player 545,2021,Topps Chrome,,545,Baseball,Raw,5.0,15.0,,8492-545,,,
08/23/2026,1,Player 546,2021,Topps Chrome,,546,Baseball,Raw,5.0,15.0,,8492-546,,,
08/23/2026,1,Player 547,2021,Topps Chrome,,547,Baseball,Raw,5.0,15.0,,8492-547,,,
08/23/2026,1,Player 548,2021,Topps Chrome,,548,Baseball,Raw,5.0,15.0,,8492-548,,,
08/23/2026,1,Player 549,2021,Topps Chrome,,549,Baseball,Raw,5.0,15.0,,8492-549,,,
08/23/2026,1,Player 550,2021,Topps Chrome,,550,Baseball,Raw,5.0,15.0,,8492-550,,,
